algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
UCSe1,env_1,139,139,415,0.5776515007019043,True
UCSe1,env_1,34,34,110,0.02350473403930664,True
UCSe1,env_1,59,59,159,0.14107847213745117,True
UCSe1,env_1,61,61,155,0.14592289924621582,True
UCSe1,env_1,92,92,130,0.4712843894958496,True
UCSe1,env_1,59,59,191,0.15571117401123047,True
UCSe1,env_1,62,62,157,0.32933735847473145,True
UCSe1,env_1,19,19,69,0.025098323822021484,True
UCSe1,env_1,25,25,52,0.03455758094787598,True
UCSe1,env_1,79,79,145,0.5563380718231201,True
UCSe1,env_1,80,80,263,0.6211514472961426,True
UCSe1,env_1,81,81,91,0.30629825592041016,True
UCSe1,env_1,15,15,54,0.012883901596069336,True
UCSe1,env_1,8,8,23,0.0031952857971191406,True
UCSe1,env_1,76,76,294,0.36455750465393066,True
UCSe1,env_1,65,65,153,0.2879359722137451,True
UCSe1,env_1,81,81,283,0.4023566246032715,True
UCSe1,env_1,69,69,99,0.7239518165588379,True
UCSe1,env_1,24,24,42,0.05201578140258789,True
UCSe1,env_1,56,56,140,0.5426697731018066,True
UCSe1,env_1,35,35,56,0.14577364921569824,True
UCSe1,env_1,76,76,130,0.5953011512756348,True
UCSe1,env_1,72,72,243,0.45540547370910645,True
UCSe1,env_1,70,70,270,0.4215373992919922,True
UCSe1,env_1,46,46,170,0.2617220878601074,True
UCSe1,env_1,94,94,344,0.49834752082824707,True
UCSe1,env_1,65,65,102,0.07481741905212402,True
UCSe1,env_1,68,68,242,0.40436267852783203,True
UCSe1,env_1,69,69,238,0.21177101135253906,True
UCSe1,env_1,109,109,253,0.53373122215271,True
UCSe2,env_2,139,415,139,0.5776515007019043,True
UCSe2,env_2,34,110,34,0.02350473403930664,True
UCSe2,env_2,59,159,59,0.14107847213745117,True
UCSe2,env_2,61,155,61,0.14592289924621582,True
UCSe2,env_2,92,130,92,0.4712843894958496,True
UCSe2,env_2,59,191,59,0.15571117401123047,True
UCSe2,env_2,62,157,62,0.32933735847473145,True
UCSe2,env_2,19,69,19,0.025098323822021484,True
UCSe2,env_2,25,52,25,0.03455758094787598,True
UCSe2,env_2,79,145,79,0.5563380718231201,True
UCSe2,env_2,80,263,80,0.6211514472961426,True
UCSe2,env_2,81,91,81,0.30629825592041016,True
UCSe2,env_2,15,54,15,0.012883901596069336,True
UCSe2,env_2,8,23,8,0.0031952857971191406,True
UCSe2,env_2,76,294,76,0.36455750465393066,True
UCSe2,env_2,65,153,65,0.2879359722137451,True
UCSe2,env_2,81,283,81,0.4023566246032715,True
UCSe2,env_2,69,99,69,0.7239518165588379,True
UCSe2,env_2,24,42,24,0.05201578140258789,True
UCSe2,env_2,56,140,56,0.5426697731018066,True
UCSe2,env_2,35,56,35,0.14577364921569824,True
UCSe2,env_2,76,130,76,0.5953011512756348,True
UCSe2,env_2,72,243,72,0.45540547370910645,True
UCSe2,env_2,70,270,70,0.4215373992919922,True
UCSe2,env_2,46,170,46,0.2617220878601074,True
UCSe2,env_2,94,344,94,0.49834752082824707,True
UCSe2,env_2,65,102,65,0.07481741905212402,True
UCSe2,env_2,68,242,68,0.40436267852783203,True
UCSe2,env_2,69,238,69,0.21177101135253906,True
UCSe2,env_2,109,253,109,0.53373122215271,True
Random,env_1,None,None,None,0.006408214569091797,False
Random,env_1,None,None,None,0.006353616714477539,False
Random,env_1,None,None,None,0.008153915405273438,False
Random,env_1,None,None,None,0.006780385971069336,False
Random,env_1,None,None,None,0.006178379058837891,False
Random,env_1,None,None,None,0.006905317306518555,False
Random,env_1,None,None,None,0.00631260871887207,False
Random,env_1,143,143,369,0.0012996196746826172,True
Random,env_1,None,None,None,0.005758762359619141,False
Random,env_1,None,None,None,0.0057086944580078125,False
Random,env_1,None,None,None,0.005427122116088867,False
Random,env_1,None,None,None,0.0055544376373291016,False
Random,env_1,None,None,None,0.005600452423095703,False
Random,env_1,None,None,None,0.005777120590209961,False
Random,env_1,None,None,None,0.00572657585144043,False
Random,env_1,None,None,None,0.005799531936645508,False
Random,env_1,None,None,None,0.005523204803466797,False
Random,env_1,None,None,None,0.0057299137115478516,False
Random,env_1,None,None,None,0.00590205192565918,False
Random,env_1,None,None,None,0.0055615901947021484,False
Random,env_1,None,None,None,0.005635261535644531,False
Random,env_1,None,None,None,0.005753993988037109,False
Random,env_1,None,None,None,0.03789782524108887,False
Random,env_1,None,None,None,0.005642890930175781,False
Random,env_1,840,840,2122,0.004715681076049805,True
Random,env_1,None,None,None,0.005848407745361328,False
Random,env_1,None,None,None,0.005464076995849609,False
