,Algorithm,Problem Size,Time,States,H value
80,HC,10,0.026835203170776367,540,0
81,HC,10,0.020606040954589844,450,2
82,HC,10,0.01810145378112793,360,4
83,HC,10,0.02246999740600586,450,2
84,HC,10,0.02244114875793457,450,2
85,HC,10,0.01810741424560547,360,4
86,HC,10,0.022110700607299805,450,2
87,HC,10,0.026483535766601562,540,2
88,HC,10,0.02217864990234375,450,2
89,HC,10,0.027451276779174805,540,2
90,SA,4,0.03021073341369629,1000,0
91,SA,4,0.0307924747467041,1000,6
92,SA,4,0.03780484199523926,1000,2
93,SA,4,0.03883004188537598,1000,2
94,SA,4,0.07992362976074219,1000,2
95,SA,4,0.08306717872619629,1000,2
96,SA,4,0.05111575126647949,1000,2
97,SA,4,0.04325509071350098,1000,2
98,SA,4,0.03907418251037598,1000,0
99,SA,4,0.1226050853729248,1000,2
100,SA,4,0.04976344108581543,1000,2
101,SA,4,0.04217219352722168,1000,4
102,SA,4,0.05255889892578125,1000,0
103,SA,4,0.05654430389404297,1000,0
104,SA,4,0.04906940460205078,1000,2
105,SA,4,0.047922611236572266,1000,0
106,SA,4,0.0438997745513916,1000,2
107,SA,4,0.037004709243774414,1000,2
108,SA,4,0.029328107833862305,1000,0
109,SA,4,0.027662277221679688,1000,0
110,SA,4,0.0277862548828125,1000,0
111,SA,4,0.02778029441833496,1000,0
112,SA,4,0.027382850646972656,1000,0
113,SA,4,0.026998519897460938,1000,0
114,SA,4,0.027594566345214844,1000,0
115,SA,4,0.027179718017578125,1000,0
116,SA,4,0.02707386016845703,1000,0
117,SA,4,0.028665781021118164,1000,2
118,SA,4,0.026818037033081055,1000,0
