size, dirt_rate, Agente, Medida de Desempeño, Tiempo
2, 0.4, Random, 1, 0.0006055831909179688
2, 0.4, Reflexive, 1, 0.0006866455078125
2, 0.4, Random, 1, 0.0005981922149658203
2, 0.4, Reflexive, 1, 0.0006976127624511719
2, 0.4, Random, 1, 0.0006005764007568359
2, 0.4, Reflexive, 1, 0.0006818771362304688
2, 0.4, Random, 1, 0.0005979537963867188
2, 0.4, Reflexive, 1, 0.0006878376007080078
2, 0.4, Random, 1, 0.0005958080291748047
2, 0.8, Reflexive, 3, 0.0007069110870361328
2, 0.8, Random, 3, 0.0006031990051269531
2, 0.8, Reflexive, 3, 0.0006921291351318359
2, 0.8, Random, 3, 0.0006072521209716797
2, 0.8, Reflexive, 3, 0.0006866455078125
2, 0.8, Random, 3, 0.0006034374237060547
2, 0.8, Reflexive, 3, 0.0006945133209228516
2, 0.8, Random, 3, 0.0006022453308105469
2, 0.8, Reflexive, 3, 0.0006852149963378906
2, 0.8, Random, 3, 0.0006041526794433594
2, 0.8, Reflexive, 3, 0.0006873607635498047
2, 0.8, Random, 3, 0.000606536865234375
2, 0.8, Reflexive, 3, 0.0007104873657226562
2, 0.8, Random, 3, 0.0006036758422851562
2, 0.8, Reflexive, 3, 0.0006895065307617188
2, 0.8, Random, 3, 0.0006082057952880859
2, 0.8, Reflexive, 3, 0.0006899833679199219
2, 0.8, Random, 3, 0.0006036758422851562
2, 0.8, Reflexive, 3, 0.0006992816925048828
2, 0.8, Random, 3, 0.0006053447723388672
4, 0.1, Reflexive, 1, 0.0006890296936035156
4, 0.1, Random, 1, 0.0006470680236816406
4, 0.1, Reflexive, 1, 0.0007574558258056641
4, 0.1, Random, 1, 0.0006022453308105469
4, 0.1, Reflexive, 1, 0.0007011890411376953
4, 0.1, Random, 1, 0.000598907470703125
4, 0.1, Reflexive, 1, 0.0006859302520751953
4, 0.1, Random, 1, 0.0006015300750732422
4, 0.1, Reflexive, 1, 0.0006899833679199219
4, 0.1, Random, 1, 0.0006067752838134766
4, 0.1, Reflexive, 1, 0.0007119178771972656
4, 0.1, Random, 1, 0.0006022453308105469
4, 0.1, Reflexive, 1, 0.0006871223449707031
4, 0.1, Random, 1, 0.0006022453308105469
4, 0.1, Reflexive, 1, 0.0006916522979736328
4, 0.1, Random, 1, 0.0005984306335449219
4, 0.1, Reflexive, 1, 0.0007195472717285156
4, 0.1, Random, 1, 0.0006134510040283203
4, 0.1, Reflexive, 1, 0.0006878376007080078
4, 0.1, Random, 1, 0.0006005764007568359
4, 0.2, Reflexive, 3, 0.0006854534149169922
4, 0.2, Random, 3, 0.0006003379821777344
4, 0.2, Reflexive, 3, 0.0006883144378662109
4, 0.2, Random, 3, 0.0006072521209716797
4, 0.2, Reflexive, 3, 0.0006878376007080078
4, 0.2, Random, 3, 0.0005998611450195312
4, 0.2, Reflexive, 3, 0.0006864070892333984
4, 0.2, Random, 3, 0.000598907470703125
4, 0.2, Reflexive, 3, 0.0006864070892333984
4, 0.2, Random, 3, 0.0006248950958251953
4, 0.2, Reflexive, 3, 0.0006856918334960938
4, 0.2, Random, 3, 0.0005996227264404297
4, 0.2, Reflexive, 3, 0.0006861686706542969
4, 0.2, Random, 3, 0.000598907470703125
4, 0.2, Reflexive, 3, 0.0006883144378662109
4, 0.2, Random, 3, 0.0006060600280761719
