algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
A*,env_2,52,176,52,0.006994962692260742,True
A*,env_2,72,85,72,0.1208181381225586,True
A*,env_2,169,264,169,1.91619873046875,True
A*,env_2,132,470,132,0.14694547653198242,True
A*,env_2,146,395,146,0.11412811279296875,True
A*,env_2,28,77,28,0.009302377700805664,True
A*,env_2,26,77,26,0.0017197132110595703,True
A*,env_2,51,193,51,0.0048198699951171875,True
A*,env_2,25,58,25,0.010560989379882812,True
A*,env_2,159,248,159,1.3910014629364014,True
A*,env_2,99,336,99,0.020817041397094727,True
A*,env_2,41,62,41,0.032943010330200195,True
A*,env_2,135,363,135,0.03548312187194824,True
A*,env_2,30,45,30,0.005751371383666992,True
A*,env_2,19,52,19,0.005921363830566406,True
A*,env_2,159,383,159,1.3214178085327148,True
A*,env_2,98,176,98,0.13027572631835938,True
