Size, Dirt Rate, Agent Type, Performance, Time
8, 0.2, Reflexive, 12, 0.0010306835174560547
8, 0.2, Random, 11, 0.0008387565612792969
8, 0.2, Reflexive, 12, 0.0010225772857666016
8, 0.2, Random, 12, 0.0009174346923828125
8, 0.2, Reflexive, 11, 0.001129150390625
8, 0.2, Random, 11, 0.0008411407470703125
8, 0.2, Reflexive, 12, 0.0011823177337646484
8, 0.2, Random, 8, 0.0012276172637939453
8, 0.2, Reflexive, 12, 0.0010733604431152344
8, 0.2, Random, 10, 0.0008406639099121094
8, 0.2, Reflexive, 12, 0.0010194778442382812
8, 0.2, Random, 11, 0.0008375644683837891
8, 0.2, Reflexive, 12, 0.0010387897491455078
8, 0.2, Random, 11, 0.0008425712585449219
8, 0.4, Reflexive, 25, 0.0010237693786621094
8, 0.4, Random, 19, 0.0008511543273925781
8, 0.4, Reflexive, 25, 0.0010752677917480469
8, 0.4, Random, 20, 0.0008549690246582031
8, 0.4, Reflexive, 25, 0.0010268688201904297
8, 0.4, Random, 21, 0.0008513927459716797
8, 0.4, Reflexive, 25, 0.0011181831359863281
8, 0.4, Random, 22, 0.000850677490234375
8, 0.4, Reflexive, 25, 0.001027822494506836
8, 0.4, Random, 22, 0.0008535385131835938
8, 0.4, Reflexive, 25, 0.0010950565338134766
8, 0.4, Random, 19, 0.0008752346038818359
8, 0.4, Reflexive, 25, 0.0010356903076171875
8, 0.4, Random, 18, 0.0009248256683349609
8, 0.4, Reflexive, 25, 0.0011053085327148438
8, 0.4, Random, 21, 0.0008704662322998047
8, 0.4, Reflexive, 25, 0.0010530948638916016
8, 0.4, Random, 22, 0.0008521080017089844
8, 0.4, Reflexive, 25, 0.0010509490966796875
8, 0.4, Random, 17, 0.00086212158203125
8, 0.8, Reflexive, 51, 0.0010128021240234375
8, 0.8, Random, 44, 0.000982046127319336
8, 0.8, Reflexive, 51, 0.0011944770812988281
8, 0.8, Random, 40, 0.0008618831634521484
8, 0.8, Reflexive, 51, 0.0010116100311279297
8, 0.8, Random, 42, 0.0008397102355957031
8, 0.8, Reflexive, 51, 0.0013759136199951172
8, 0.8, Random, 44, 0.000957489013671875
8, 0.8, Reflexive, 51, 0.00102996826171875
8, 0.8, Random, 40, 0.0008840560913085938
